"","Rank","Team","Conf","W-L","BPI","SOS","SOR","RPI"
"","72","OregonORE","Pac-12","23-13","72","84","78","--"
"","73","South DakotaSDAK","Summit","26-9","73","263","96","--"
"","74","NorthwesternNW","Big Ten","15-17","74","42","89","--"
"","75","Northern KentuckyNKU","Horizon","22-10","75","237","111","--"
"","76","BuffaloBUFF","MAC E","27-9","76","145","69","--"
"","77","GeorgiaUGA","SEC","18-15","77","23","57","--"
"","78","IndianaIND","Big Ten","16-15","78","46","74","--"
"","79","BelmontBEL","OVC","24-9","79","201","87","--"
"","80","Boston CollegeBC","ACC","19-16","80","41","64","--"
"","81","BucknellBUCK","Patriot","25-10","81","175","88","--"
"","82","BYUBYU","WCC","24-11","82","111","77","--"
"","83","St. John'SSJU","Big East","16-17","83","27","73","--"
"","84","Fresno StFRES","MW","21-11","84","139","105","--"
"","85","UNC GreensboroUNCG","Southern","27-8","85","179","70","--"
"","86","TempleTEM","American","17-16","86","49","76","--"
"","87","South Dakota StSDST","Summit","28-7","87","159","53","--"
"","88","East Tennessee StETSU","Southern","25-9","88","182","84","--"
"","89","VanderbiltVAN","SEC","12-20","89","13","108","--"
"","90","IowaIOWA","Big Ten","14-19","90","45","109","--"
"","91","South CarolinaSCAR","SEC","17-16","91","55","81","--"
"","92","Utah ValleyUVU","WAC","23-11","92","259","127","--"
"","93","Wake ForestWAKE","ACC","11-20","93","38","139","--"
"","94","NortheasternNE","CAA","23-10","94","167","92","--"
"","95","Iowa StateISU","Big 12","13-18","95","9","91","--"
"","96","StanfordSTAN","Pac-12","19-16","96","71","98","--"
"","97","IllinoisILL","Big Ten","14-18","97","64","122","--"
"","98","UNLVUNLV","MW","20-13","98","117","110","--"
"","99","Georgia StGAST","Sun Belt","24-11","99","258","113","--"
"","100","PennsylvaniaPENN","Ivy","24-9","100","254","99","--"
